Name,Type,Calories,Proteins,Fats,Carbs,Meal_Type,Category
Tomato fish,Non-Veg,489.79,2.39,51.91,3.18,Lunch,Gravy
Tomato fish,Non-Veg,489.79,2.39,51.91,3.18,Dinner,Gravy
Baked fish with cheese sauce,Non-Veg,113.96,8.64,7.02,4.06,Lunch,Gravy
Baked fish with cheese sauce,Non-Veg,113.96,8.64,7.02,4.06,Dinner,Gravy
Fish tikka,Non-Veg,117.33,16.0,4.15,3.91,Lunch,Gravy
Fish tikka,Non-Veg,117.33,16.0,4.15,3.91,Dinner,Gravy
Tandoori fish,Non-Veg,95.98,11.19,4.64,2.37,Lunch,Gravy
Tandoori fish,Non-Veg,95.98,11.19,4.64,2.37,Dinner,Gravy
"Paneer, apple and pineapple salad",Veg,95.08,3.88,5.07,8.35,Side,Side
Russian salad,Veg,114.83,4.26,7.84,6.5,Side,Side
Pasta salad,Veg,190.36,4.15,13.92,12.7,Side,Side
Deviled egg,Non-Veg,98.56,4.97,7.72,2.23,Snack,Snack
Hawain salad,Veg,175.23,4.27,11.37,14.35,Side,Side
Mixed pulse and vegetable salad,Veg,83.12,4.74,0.84,13.96,Side,Side
Sprouted moong salad ,Veg,37.81,2.29,0.74,5.48,Side,Side
Tossed salad,Veg,62.96,1.02,4.22,4.95,Side,Side
Mixed vegetable salad with curd sauce,Veg,60.28,4.23,1.5,7.03,Side,Side
Potato salad (Aloo ka salaad),Veg,89.91,1.4,4.4,11.19,Side,Side
Waldroff salad,Veg,141.75,1.47,10.05,11.02,Side,Side
Coleslaw,Veg,76.71,1.24,5.32,5.59,Snack,Snack
Fruit salad (Phalon ka salaad),Veg,78.14,0.91,1.22,15.96,Side,Side
Tomato onion raita (Tamatar aur pyaaz ka raita),Veg,59.0,3.74,1.84,7.08,Side,Side
Peanut raita (Mungfali ka raita),Veg,150.39,8.59,8.98,9.3,Side,Side
Sprouted moong raita ,Veg,60.89,4.62,2.19,6.13,Side,Side
Bottle gourd raita (Ghiya/Lauki ka raita),Veg,56.31,3.98,2.07,5.76,Side,Side
Cucumber raita (Kheere ka raita),Veg,59.13,4.04,2.08,6.35,Snack,Snack
Carrot and spinach raita (Gajar aur palak ka raita),Veg,56.83,4.0,1.99,5.83,Side,Side
Mint raita (Pudinay ka raita),Veg,77.59,5.64,2.96,7.65,Side,Side
Potato raita (Aloo ka raita),Veg,75.38,4.22,2.04,10.24,Side,Side
Boondi raita,Veg,687.72,2.19,73.83,3.96,Side,Side
Sweet raita (Meetha raita),Veg,99.24,3.24,1.78,17.93,Snack,Snack
Dahi vadas/Dahi bhalla,Veg,667.73,2.96,70.4,5.49,Snack,Snack
Gunjia,Veg,667.34,2.98,70.28,5.68,Snack,Snack
Saunth/Sonth chutney with tamarind/imli,Veg,141.53,1.01,0.15,33.55,Side,Side
Rice kheer (Chawal ki kheer),Veg,75.03,2.3,2.97,10.05,Snack,Snack
Makhana kheer,Veg,107.85,3.31,5.0,12.88,Snack,Snack
Vermicelli kheer (Semiya/Seviyan ki kheer),Veg,120.07,3.35,5.0,15.87,Snack,Snack
Semolina kheer (Suji/Rava kheer),Veg,113.21,3.43,4.2,15.88,Snack,Snack
Paneer kheer,Veg,105.31,4.53,5.37,10.03,Snack,Snack
Cabbage kheer (Pattagobhi ki kheer),Veg,83.51,2.87,3.8,9.73,Snack,Snack
Carrot kheer (Gajar ki kheer),Veg,85.35,2.81,3.85,10.09,Snack,Snack
Cauliflower kheer (Phoolgobhi ki kheer),Veg,81.95,3.04,3.95,8.78,Snack,Snack
Moong dal kheer,Veg,77.16,2.95,2.97,9.89,Snack,Snack
Phirni,Veg,116.12,3.49,4.34,16.11,Snack,Snack
Semolina halwa (Suji ka halwa),Veg,225.65,2.16,13.38,24.67,Snack,Snack
Shahi suji halwa,Veg,382.34,3.48,21.73,44.44,Snack,Snack
Carrot halwa (Gajar ka halwa),Veg,172.64,3.11,9.73,18.53,Snack,Snack
Egg halwa (Ande ka halwa),Non-Veg,299.74,7.85,13.41,39.59,Snack,Snack
Potato halwa (Aloo ka halwa),Veg,151.66,1.53,3.48,29.18,Snack,Snack
Pumpkin halwa (Kaddu ka halwa),Veg,190.27,1.33,8.81,27.6,Snack,Snack
Moong dal halwa,Veg,349.8,8.35,17.68,40.23,Snack,Snack
Caramel custard (steamed),Veg,121.58,4.97,4.87,15.02,Side,Beverage
Baked custard,Veg,106.53,5.41,5.3,9.45,Snack,Snack
Soft Custard (stirred),Veg,109.18,5.01,5.07,11.19,Snack,Snack
Chocolate ice cream,Veg,177.7,4.47,11.25,15.41,Snack,Snack
Mango ice cream,Veg,125.69,3.4,7.62,11.14,Snack,Snack
Fruit Ice cream (Phalon ka Ice cream),Veg,171.46,4.37,10.38,16.05,Snack,Snack
Caramel ice cream,Veg,173.52,4.31,11.15,14.81,Snack,Snack
Lemon souffle,Veg,168.51,6.95,10.02,13.43,Snack,Snack
Orange souffle,Veg,168.28,6.8,9.73,14.2,Snack,Snack
Vanilla souffle,Veg,187.85,7.71,11.19,14.78,Snack,Snack
Chocolate souffle,Veg,189.32,7.88,11.36,14.74,Snack,Snack
Pineapple souffle ,Veg,196.14,8.06,11.72,15.52,Snack,Snack
Apple mousse,Veg,106.92,4.21,4.27,12.77,Snack,Snack
Rich chocolate mousse,Veg,188.26,7.96,12.19,10.84,Snack,Snack
Mango mousse,Veg,124.98,3.21,8.47,9.14,Snack,Snack
Charlotte rousse,Veg,188.29,3.95,4.78,34.08,Snack,Snack
Triffle pudding,Veg,116.97,2.93,3.93,18.24,Snack,Snack
Snow flakes pudding,Veg,95.21,4.67,4.97,8.07,Snack,Snack
Kulfi,Veg,98.43,3.21,4.7,11.3,Snack,Snack
Steamed orange pudding,Veg,278.03,2.34,12.04,41.53,Side,Beverage
Meringue and rice pudding,Veg,112.93,4.84,4.05,14.6,Lunch,RiceSide
Meringue and rice pudding,Veg,112.93,4.84,4.05,14.6,Dinner,RiceSide
Cheese pudding,Veg,285.01,11.29,18.37,19.27,Snack,Snack
Chocolate pudding,Veg,211.96,3.55,9.48,29.59,Snack,Snack
Queen of pudding,Veg,132.92,5.51,5.38,16.35,Snack,Snack
Pineapple upside down pudding,Veg,257.73,3.15,11.91,35.73,Snack,Snack
Date and nut pie,Veg,322.42,3.93,13.31,46.86,Snack,Snack
Stewed apple with custard,Veg,92.87,1.27,1.82,18.36,Lunch,Gravy
Stewed apple with custard,Veg,92.87,1.27,1.82,18.36,Dinner,Gravy
Apple snowballs,Veg,101.51,0.86,0.31,24.58,Snack,Snack
Hot orange souffle,Veg,179.97,6.87,8.95,18.77,Snack,Snack
Hot chocolate souffle,Veg,226.09,6.7,11.1,26.21,Snack,Snack
Hot vanilla souffle,Veg,192.93,6.87,9.07,21.77,Snack,Snack
Plain burfi (Burfi),Veg,408.32,9.82,27.96,30.88,Snack,Snack
Coconut burfi (Nariyal ki burfi),Veg,467.64,8.81,34.63,32.15,Snack,Snack
Bottle gourd burfi (Ghiya/Lauki burfi),Veg,275.96,5.86,17.68,24.51,Snack,Snack
Chocolate burfi,Veg,339.33,13.0,17.86,33.15,Snack,Snack
Cashewnut burfi (Kaju burfi/Kaju katli),Veg,421.74,5.48,28.46,37.92,Snack,Snack
Semolina ladoo with khoya (Suji/Rava aur khoye ke ladoo ),Veg,428.71,6.71,21.86,52.86,Snack,Snack
Semolina ladoo with coconut (Suji/Rava aur nariyal ke ladoo ),Veg,464.43,5.68,27.03,50.9,Snack,Snack
Sesame ladoo (Til ke ladoo),Veg,396.96,10.7,19.64,43.5,Snack,Snack
Chenna murki,Veg,252.69,10.46,8.2,36.01,Snack,Snack
Milk cake,Veg,127.41,3.01,8.93,9.13,Snack,Snack
Ghujia/Lavang latika,Veg,768.98,1.86,78.93,13.0,Snack,Snack
Mal pua,Veg,566.68,1.71,54.64,17.56,Snack,Snack
Shahi tukre,Veg,189.81,2.76,2.54,41.46,Snack,Snack
Potato pakora/pakoda (Aloo pakoda),Veg,677.19,1.9,71.84,6.04,Snack,Snack
Onion pakora/pakoda (Pyaaz ke pakode),Veg,674.61,1.9,71.84,5.41,Snack,Snack
Cauliflower pakora/pakoda (Phoolgobhi ke pakode),Veg,671.63,1.98,71.86,4.52,Snack,Snack
Mixed vegetable pakora/pakoda,Veg,673.81,1.94,71.86,5.12,Snack,Snack
Spinach pakora/pakoda (Palak pakoda),Veg,712.62,1.96,76.38,4.68,Snack,Snack
Methi pakora/pakoda (Methi ke pakode),Veg,713.25,2.06,76.39,4.68,Snack,Snack
Egg pakora/pakoda (Ande ke pakode),Non-Veg,710.51,2.83,75.86,4.48,Snack,Snack
Bread pakora/pakoda,Veg,710.99,2.57,74.2,8.87,Snack,Snack
Paneer pakora/pakoda,Veg,718.12,3.27,76.05,5.52,Snack,Snack
Potato bonda (Aloo bonda),Veg,632.84,1.09,67.8,4.53,Snack,Snack
Potato samosa (Aloo ka samosa),Veg,577.39,1.71,59.19,9.21,Snack,Snack
Minced meat samosa (Keema ka samosa),Non-Veg,620.99,4.43,64.26,6.14,Snack,Snack
Paneer and pea samosa (Paneer matar ka samosa),Veg,623.81,4.02,63.65,8.55,Snack,Snack
Mathri,Veg,805.12,1.75,83.1,12.32,Snack,Snack
Khasta kachori,Veg,712.73,2.51,72.27,12.81,Snack,Snack
Vegetable cutlet,Veg,665.45,1.25,71.33,4.68,Snack,Snack
Flattened rice cutlet (Chirwa cutlet/Chivda cutlet/Poha cutlet),Veg,701.71,1.76,73.89,7.39,Snack,Snack
Peanut cutlet (Mungfali ke cutlet),Veg,698.77,2.63,74.0,5.68,Snack,Snack
Fish cutlet (Machli ka cutlet),Non-Veg,654.64,2.77,70.11,3.13,Snack,Snack
Paneer potato cutlet (Paneer aloo cutlet),Veg,672.94,2.47,71.4,5.23,Snack,Snack
Spinach chickpeas cutlet (Palak channa dal cutlet),Veg,688.03,1.44,73.6,4.93,Snack,Snack
Cheese toast,Veg,785.37,1.98,84.11,5.49,Snack,Snack
Vegetable burger,Veg,519.93,3.26,50.63,13.69,Snack,Snack
Cheese pizza,Veg,249.5,5.79,12.43,30.62,Snack,Snack
Vegetable seekh kebab,Veg,690.73,1.57,73.72,5.32,Snack,Snack
Masala vada,Veg,826.02,1.69,89.15,4.06,Snack,Snack
Peanut sago vada (Sabudana mungfali vada),Veg,749.89,1.01,79.82,7.14,Snack,Snack
Vegeterian scotch egg,Non-Veg,681.67,2.16,72.77,4.64,Snack,Snack
Paneer shaslik/tikka,Veg,93.85,5.11,4.49,7.98,Lunch,Gravy
Paneer shaslik/tikka,Veg,93.85,5.11,4.49,7.98,Dinner,Gravy
Peanut brittle (Moongfali ki chikki),Veg,320.46,6.94,11.13,47.46,Snack,Snack
Spring roll,Veg,623.87,1.81,64.63,8.56,Snack,Snack
Dry mango chutney (Sookhe aam ki chutney),Veg,298.13,2.43,0.7,69.17,Side,Side
Peanut chutney (Mungfali ki chutney),Veg,258.37,11.8,19.06,9.87,Side,Side
Coconut chutney (Nariyal ki chutney),Veg,265.92,3.59,25.0,8.29,Side,Side
Mint and coriander chutney (Pudinay aur dhaniye ki chutney),Veg,102.6,2.81,0.51,21.18,Side,Side
Custard tart,Veg,225.6,3.72,10.73,28.66,Snack,Snack
Lemon tart,Veg,303.35,6.12,17.45,30.68,Snack,Snack
Pineapple tart,Veg,195.4,2.29,8.21,28.62,Snack,Snack
Cheese and mushroom tart,Veg,246.1,5.51,15.28,21.43,Snack,Snack
Cottage cheese pie,Veg,238.98,7.45,13.83,20.66,Snack,Snack
Minced meat pie,Non-Veg,221.55,7.38,13.04,18.11,Snack,Snack
Apple cinnamon pie,Veg,258.73,3.35,12.21,33.68,Snack,Snack
Lemon meringue pie,Veg,224.43,3.88,8.16,35.11,Snack,Snack
Chocolate meringue pie,Veg,214.76,4.98,9.17,28.8,Snack,Snack
Chocolate eclairs,Veg,239.42,4.24,13.5,26.22,Snack,Snack
Cheese balls,Veg,681.28,2.21,72.57,4.81,Snack,Snack
Minced meat patties,Non-Veg,265.72,6.88,19.57,15.25,Snack,Snack
Cheese patties,Veg,324.01,7.38,22.67,22.23,Snack,Snack
Hot cheese souffle,Veg,177.1,9.18,13.23,5.41,Snack,Snack
Hot potato souffle,Veg,125.64,5.51,7.64,8.56,Snack,Snack
Hot fish souffle,Non-Veg,142.92,11.23,9.24,3.69,Lunch,Gravy
Hot fish souffle,Non-Veg,142.92,11.23,9.24,3.69,Dinner,Gravy
Hot spinach souffle,Veg,104.25,5.43,7.24,4.19,Snack,Snack
Apple cake (Seb ka cake),Veg,290.08,4.94,12.87,39.48,Snack,Snack
Marble cake,Veg,354.11,6.3,16.27,46.88,Snack,Snack
Chocolate cake,Veg,335.61,6.01,15.18,45.14,Snack,Snack
Orange cake,Veg,357.61,6.1,16.21,48.28,Snack,Snack
Fruit Loaf ,Veg,324.19,5.36,13.31,46.49,Snack,Snack
Banana cake (Kele ka cake),Veg,389.51,5.77,23.31,40.0,Snack,Snack
Chocolate chiffon cake,Veg,311.71,5.76,15.8,37.87,Snack,Snack
Christmas cake,Veg,372.95,5.49,16.88,48.29,Snack,Snack
Eggless cake,Non-Veg,318.08,8.12,11.75,46.14,Snack,Snack
Swiss roll,Veg,251.87,7.3,3.77,48.34,Snack,Snack
Pineapple pastry ,Veg,208.21,6.06,7.87,29.04,Snack,Snack
Black forest pastry,Veg,233.55,6.09,8.46,34.48,Snack,Snack
Coconut finger,Veg,274.86,7.09,8.86,42.56,Snack,Snack
Pineapple cake ,Veg,195.57,5.01,9.34,23.51,Snack,Snack
Chocolate walnut cookies (Chocolate aur akhrot ke cookies),Veg,424.8,6.56,23.62,47.1,Snack,Snack
Chocolate chip cookies,Veg,425.29,5.79,19.38,57.98,Snack,Snack
Sweet plain biscuit,Veg,380.76,5.86,17.67,50.29,Snack,Snack
Chocolate biscuit,Veg,379.76,5.88,17.09,51.56,Snack,Snack
Coconut biscuit (Nariyal ke biscuit),Veg,434.98,5.78,27.16,42.9,Snack,Snack
Peanut biscuit,Veg,401.05,8.45,20.41,46.72,Snack,Snack
Pin wheel biscuit,Veg,404.6,5.4,18.66,54.56,Snack,Snack
Saffron biscuit (Kesar biscuit),Veg,458.61,6.05,22.01,59.7,Snack,Snack
Ice box cookies,Veg,374.24,5.7,14.44,56.09,Snack,Snack
Ginger bread man,Veg,365.0,6.61,11.01,60.26,Snack,Snack
Danish cookies,Veg,475.33,5.33,24.92,58.0,Snack,Snack
Short bread cookies,Veg,443.09,6.03,17.98,64.82,Snack,Snack
Coffee biscuit,Veg,416.57,6.9,23.0,46.55,Snack,Snack
Melting moments,Veg,437.91,5.71,21.78,55.84,Snack,Snack
Ginger biscuit (Adarak ke biscuit),Veg,417.91,5.98,18.31,58.44,Snack,Snack
Soyabean muthias,Veg,839.33,2.46,90.45,3.7,Snack,Snack
Soyabean tikki,Veg,698.17,3.53,74.02,4.39,Snack,Snack
Soyabean namak paras,Veg,838.46,2.65,89.83,4.65,Snack,Snack
Peanut burfi (Moongfali ki burfi),Veg,550.99,9.31,36.84,48.14,Snack,Snack
Spinach peanut namak paras (Palak moongfali namak paras),Veg,740.16,1.65,78.51,6.62,Lunch,Dry
Spinach peanut namak paras (Palak moongfali namak paras),Veg,740.16,1.65,78.51,6.62,Dinner,Dry
Rice moong dal cheela (Chawal aur moong dal ka cheela),Veg,798.26,2.74,82.44,11.13,Breakfast,Breakfast
Split bengal gram sweet rice (Channa dal sweet rice),Veg,190.21,4.15,0.64,41.07,Snack,Snack
Sweet poori (Meethi poori),Veg,782.75,2.12,79.63,14.26,Snack,Snack
Spinach burfi (Palak burfi),Veg,121.17,2.71,6.81,12.76,Snack,Snack
Sweet split chickpea roti (Sweet channa dal roti/Puranpoli),Veg,366.59,9.51,7.93,62.66,Snack,Snack
Sprouted moong daliya ,Veg,111.56,2.81,4.71,14.77,Lunch,Complete
Sprouted moong daliya ,Veg,111.56,2.81,4.71,14.77,Dinner,Complete
Sprouted moong poha ,Veg,192.6,5.59,6.89,26.6,Breakfast,Breakfast
Pearl millet ladoo (Bajra ladoo),Veg,319.66,9.61,8.06,50.98,Snack,Snack
Paushtik ladoo,Veg,485.87,7.65,24.98,60.34,Snack,Snack
Paushtik roti,Veg,149.26,7.17,1.51,26.59,Breakfast,Breakfast
Semolina carrot vada (Suji gajar vada),Veg,699.53,1.56,74.07,6.52,Snack,Snack
Dhokla,Veg,216.49,13.45,5.28,30.68,Snack,Snack
Kashmiri tea (Kehwa),Veg,24.9,0.17,0.51,5.23,Side,Beverage
Steeped hot coffee,Veg,15.91,0.39,0.33,3.01,Side,Beverage
Hot chocolate,Veg,90.01,3.43,4.61,9.02,Snack,Snack
Banana milkshake with ice cream (Kele ka milkshake ice cream ke saath),Veg,76.45,2.01,2.77,11.15,Snack,Snack
Flavoured milkshake,Veg,66.78,2.06,2.83,8.65,Side,Beverage
Jal jeera,Veg,30.24,0.44,0.26,6.7,Snack,Snack
Gingo,Veg,48.02,0.14,0.06,12.42,Snack,Snack
Mintade,Veg,40.32,0.03,0.02,10.59,Snack,Snack
Canjee,Veg,6.61,0.24,0.42,0.44,Snack,Snack
Cauliflower canjee (Phoolgobhi ki canjee),Veg,6.9,0.39,0.42,0.35,Snack,Snack
Potato canjee (Aloo canjee),Veg,16.26,0.44,0.39,2.69,Lunch,Dry
Potato canjee (Aloo canjee),Veg,16.26,0.44,0.39,2.69,Dinner,Dry
Vermicelli porridge (Semiya/Seviyan porridge),Veg,78.4,2.5,2.98,10.56,Snack,Snack
Semolina upma (Suji/Rava upma),Veg,147.89,3.3,7.49,16.31,Breakfast,Breakfast
Vermicelli upma (Semiya/Seviyan upma),Veg,149.11,3.11,7.45,16.88,Snack,Snack
Rice upma,Veg,151.27,2.63,7.46,17.96,Breakfast,Breakfast
Bread upma,Veg,129.51,2.8,7.75,12.6,Breakfast,Breakfast
Vegetable upma,Veg,146.47,4.73,6.63,16.46,Breakfast,Breakfast
Poha,Veg,294.53,6.09,14.14,35.05,Breakfast,Breakfast
Vegetable poha,Veg,180.52,4.89,8.07,21.52,Breakfast,Breakfast
Moong dal stuffed cheela/chilla (Moong dal ka cheela/chilla),Veg,154.89,6.97,5.11,19.42,Breakfast,Breakfast
Paneer stuffed cheela/chilla,Veg,205.19,11.44,8.89,19.16,Breakfast,Breakfast
Indian style egg bhujia (Anda bhujia (Indian style)),Non-Veg,102.83,6.1,7.02,3.76,Snack,Snack
French omelette/omlet,Non-Veg,211.04,10.03,18.86,0.41,Breakfast,Breakfast
Puffy omelette/omlet,Non-Veg,188.15,8.82,16.84,0.08,Snack,Snack
Orange omelette/omlet,Non-Veg,194.66,8.93,16.84,1.68,Breakfast,Breakfast
Cheese and mushroom omelette/omlet,Non-Veg,205.63,9.69,17.82,1.68,Breakfast,Breakfast
Spanish omelette/omlet,Non-Veg,157.45,8.25,11.44,5.1,Breakfast,Breakfast
Meat consomme (with mutton),Non-Veg,29.76,14.86,13.68,0.51,Lunch,Gravy
Meat consomme (with mutton),Non-Veg,29.76,14.86,13.68,0.51,Dinner,Gravy
Consomme au julienne,Veg,27.76,12.49,10.66,1.49,Snack,Snack
Consomme au vermicelli,Veg,29.94,15.23,12.98,1.3,Snack,Snack
Green pea soup (Matar ka soup),Veg,39.81,11.06,12.9,3.63,Side,Beverage
Spinach soup (Palak ka soup),Veg,32.59,10.54,14.26,3.03,Side,Beverage
Mixed vegetable soup,Veg,35.71,8.22,11.66,2.95,Side,Beverage
Cheese soup,Veg,41.13,12.39,17.07,1.87,Side,Beverage
Mulligatawny soup,Veg,54.42,11.26,13.28,8.24,Side,Beverage
Cream of carrot soup,Veg,59.77,8.27,12.35,5.69,Side,Beverage
Cream of broccoli soup,Veg,56.14,8.97,12.75,3.72,Side,Beverage
Cream of potato soup,Veg,60.2,8.1,12.05,6.14,Side,Beverage
Almond soup (Badam ka soup),Veg,78.65,10.13,13.8,3.68,Side,Beverage
Cold cucumber cream soup ,Veg,11.88,0.34,0.34,1.76,Side,Beverage
Cold tomato soup,Veg,16.9,0.11,1.56,0.59,Side,Beverage
Chicken stew,Non-Veg,127.55,7.19,8.91,4.44,Lunch,Gravy
Chicken stew,Non-Veg,127.55,7.19,8.91,4.44,Dinner,Gravy
Veg paneer stew,Veg,145.55,6.98,8.41,10.22,Lunch,Gravy
Veg paneer stew,Veg,145.55,6.98,8.41,10.22,Dinner,Gravy
Onion-green chilli parantha/paratha (Pyaaz aur hari mirch ka parantha/paratha),Veg,191.27,4.37,7.27,26.37,Breakfast,Breakfast
Methi parantha/paratha,Veg,148.36,4.27,4.34,22.19,Breakfast,Breakfast
Bathua poori,Veg,598.79,2.35,59.14,13.85,Breakfast,Breakfast
Beetroot poori (Chukandar ki poori),Veg,527.66,1.91,52.18,12.29,Breakfast,Breakfast
Peas poori (Matar ki poori),Veg,592.83,3.04,57.69,14.92,Breakfast,Breakfast
Peas kachori (Matar kachori),Veg,584.68,3.21,57.51,13.25,Snack,Snack
Pizza,Veg,146.77,6.85,8.72,9.94,Snack,Snack
Bacon and mushroom pancake,Non-Veg,157.67,6.82,10.6,8.47,Snack,Snack
Cheese and tomato pancake,Veg,147.39,5.15,9.28,10.66,Snack,Snack
Minced meat pancake (with chicken),Non-Veg,116.04,12.01,10.48,8.18,Snack,Snack
Eggplant/Brinjal rice (Vangi bhat),Non-Veg,184.8,5.28,3.67,31.74,Lunch,RiceSide
Eggplant/Brinjal rice (Vangi bhat),Non-Veg,184.8,5.28,3.67,31.74,Dinner,RiceSide
Kashmiri 'tahar',Veg,98.21,1.95,1.37,19.11,Snack,Snack
Cumin pulao (Jeera/Zeera pulao),Veg,135.24,2.47,3.2,23.61,Lunch,RiceSide
Cumin pulao (Jeera/Zeera pulao),Veg,135.24,2.47,3.2,23.61,Dinner,RiceSide
Peas pulao (Matar pulao),Veg,108.87,3.89,1.9,18.42,Lunch,RiceSide
Peas pulao (Matar pulao),Veg,108.87,3.89,1.9,18.42,Dinner,RiceSide
Split bengal gram dal and vegetable pulao (Channa dal and vegetable pulao),Veg,116.53,3.6,2.3,19.72,Lunch,RiceSide
Split bengal gram dal and vegetable pulao (Channa dal and vegetable pulao),Veg,116.53,3.6,2.3,19.72,Dinner,RiceSide
Black channa pulao/ Bengal gram pulao (Kale chane ka pulao),Veg,125.51,3.44,2.58,21.55,Lunch,RiceSide
Black channa pulao/ Bengal gram pulao (Kale chane ka pulao),Veg,125.51,3.44,2.58,21.55,Dinner,RiceSide
Mutton pulao,Non-Veg,130.77,6.52,10.78,11.26,Lunch,RiceSide
Mutton pulao,Non-Veg,130.77,6.52,10.78,11.26,Dinner,RiceSide
Chicken pulao,Non-Veg,108.24,6.07,8.48,11.17,Lunch,RiceSide
Chicken pulao,Non-Veg,108.24,6.07,8.48,11.17,Dinner,RiceSide
Mexican rice,Veg,120.57,4.62,4.88,14.21,Lunch,RiceSide
Mexican rice,Veg,120.57,4.62,4.88,14.21,Dinner,RiceSide
Plain khitchdi (Plain khichri/khichdi),Veg,57.03,1.72,1.01,10.04,Lunch,Complete
Plain khitchdi (Plain khichri/khichdi),Veg,57.03,1.72,1.01,10.04,Dinner,Complete
Instant idli (with semolina),Veg,247.29,9.16,3.61,43.4,Breakfast,Breakfast
Plain dosa,Veg,380.91,10.34,8.43,64.08,Breakfast,Breakfast
Masala dosa mixed vegetable fillings,Veg,144.53,4.84,3.26,23.02,Breakfast,Breakfast
Masala dosa paneer fillings,Veg,243.12,10.31,8.84,29.76,Breakfast,Breakfast
Uttapam,Veg,255.95,6.18,9.03,36.28,Snack,Snack
Appam,Veg,267.7,3.12,22.63,13.28,Breakfast,Breakfast
Beans and macaroni,Veg,136.08,4.58,7.01,14.24,Lunch,Complete
Beans and macaroni,Veg,136.08,4.58,7.01,14.24,Dinner,Complete
Spaghetti bolognese,Veg,97.43,9.35,9.51,10.04,Lunch,Complete
Spaghetti bolognese,Veg,97.43,9.35,9.51,10.04,Dinner,Complete
Meat and macaroni casserole,Non-Veg,161.55,9.15,10.17,16.12,Lunch,Complete
Meat and macaroni casserole,Non-Veg,161.55,9.15,10.17,16.12,Dinner,Complete
Spaghetti with meat balls and tomato sauce,Non-Veg,158.13,5.61,10.64,10.46,Lunch,Complete
Spaghetti with meat balls and tomato sauce,Non-Veg,158.13,5.61,10.64,10.46,Dinner,Complete
Spaghetti with paneer balls and tomato sauce,Veg,158.54,3.95,10.44,12.72,Lunch,Complete
Spaghetti with paneer balls and tomato sauce,Veg,158.54,3.95,10.44,12.72,Dinner,Complete
Lasagne with vegetables,Veg,49.23,1.71,2.16,5.9,Lunch,Complete
Lasagne with vegetables,Veg,49.23,1.71,2.16,5.9,Dinner,Complete
Home made egg noodles,Non-Veg,240.84,6.55,4.37,42.92,Lunch,Complete
Home made egg noodles,Non-Veg,240.84,6.55,4.37,42.92,Dinner,Complete
Sour lentils (Khatti dal),Veg,34.79,2.22,0.12,6.04,Lunch,Gravy
Sour lentils (Khatti dal),Veg,34.79,2.22,0.12,6.04,Dinner,Gravy
Urad special dehusked,Veg,69.43,3.14,2.17,8.86,Snack,Snack
Arhar with spinach (Arhar dal aur palak),Veg,52.84,2.05,2.76,4.77,Lunch,Gravy
Arhar with spinach (Arhar dal aur palak),Veg,52.84,2.05,2.76,4.77,Dinner,Gravy
Moong dal with vadi,Veg,24.08,0.4,2.05,1.0,Lunch,Gravy
Moong dal with vadi,Veg,24.08,0.4,2.05,1.0,Dinner,Gravy
Rasam with tamarind (Puli rasam/ Chintapandu rasam/ Charu/Saaru),Veg,26.74,1.13,0.88,3.37,Snack,Snack
Rasam with lemon (Nimmakaya rasam/Nimmakaya charu/Elumichai rasam/Nimbe hannina saaru),Veg,24.41,1.11,0.87,2.85,Snack,Snack
Green gram whole with baghar (Sabut moong dal with tadka),Veg,63.43,3.23,2.48,6.8,Lunch,Gravy
Green gram whole with baghar (Sabut moong dal with tadka),Veg,63.43,3.23,2.48,6.8,Dinner,Gravy
Urad sabut special,Veg,79.39,2.33,5.46,5.03,Snack,Snack
Kabuli channa curry,Veg,68.57,2.92,3.06,7.63,Lunch,Gravy
Kabuli channa curry,Veg,68.57,2.92,3.06,7.63,Dinner,Gravy
Besan gatte curry,Veg,189.38,7.75,10.72,16.26,Lunch,Gravy
Besan gatte curry,Veg,189.38,7.75,10.72,16.26,Dinner,Gravy
Mutton korma,Non-Veg,115.64,7.09,8.54,2.53,Lunch,Gravy
Mutton korma,Non-Veg,115.64,7.09,8.54,2.53,Dinner,Gravy
Shahi keema kofta curry,Non-Veg,418.13,4.14,43.83,1.73,Lunch,Gravy
Shahi keema kofta curry,Non-Veg,418.13,4.14,43.83,1.73,Dinner,Gravy
Minced meat ball curry,Non-Veg,109.79,6.82,7.85,2.86,Lunch,Gravy
Minced meat ball curry,Non-Veg,109.79,6.82,7.85,2.86,Dinner,Gravy
Boti kebab,Veg,132.86,9.22,9.27,3.06,Snack,Snack
Mutton seekh kebab,Non-Veg,133.94,11.25,8.43,3.11,Lunch,Gravy
Mutton seekh kebab,Non-Veg,133.94,11.25,8.43,3.11,Dinner,Gravy
Indian lamb and egg curry (Nargisi kofta),Non-Veg,335.75,3.84,34.7,2.07,Lunch,Gravy
Indian lamb and egg curry (Nargisi kofta),Non-Veg,335.75,3.84,34.7,2.07,Dinner,Gravy
Soya chunks sweet and sour (Nutrinugget sweet and sour),Veg,500.94,2.85,55.99,3.27,Snack,Snack
Soya chunks korma (Nutrinugget korma),Veg,131.43,3.86,9.5,7.67,Lunch,Gravy
Soya chunks korma (Nutrinugget korma),Veg,131.43,3.86,9.5,7.67,Dinner,Gravy
Mushroom matar,Veg,70.77,2.79,4.11,5.33,Snack,Snack
Soya chunks and peas (Nutrinugget matar),Veg,82.62,3.03,5.11,5.82,Snack,Snack
