Name,Type,Calories,Proteins,Fats,Carbs,Meal_Type,Category
Chinese cabbage and meat ball soup,Non-Veg,484.31,5.21,56.57,1.43,Side,Beverage
French onion soup,Veg,55.61,11.41,14.39,4.28,Side,Beverage
Hot and sour soup,Veg,31.51,3.12,1.31,1.78,Side,Beverage
Talaumein soup,Veg,35.63,10.12,12.78,4.17,Side,Beverage
Cold cucumber soup (Thanda kheere ka soup),Veg,48.03,2.99,1.99,4.58,Snack,Snack
Cold summer garden soup,Veg,49.19,8.57,14.08,2.65,Side,Beverage
Chapati/Roti,Veg,202.31,5.88,3.56,35.65,Breakfast,Breakfast
Plain parantha/paratha,Veg,298.3,5.06,16.86,30.69,Breakfast,Breakfast
Potato parantha/paratha (Aloo ka parantha/paratha),Veg,205.04,3.7,10.22,23.92,Breakfast,Breakfast
Radish parantha/paratha (Mooli ka parantha/paratha),Veg,183.52,3.3,9.53,20.54,Breakfast,Breakfast
Cauliflower parantha/paratha (Phoolgobhi ka parantha/paratha),Veg,178.07,3.73,9.47,18.84,Breakfast,Breakfast
Dal parantha/paratha,Veg,268.24,6.78,13.05,30.03,Breakfast,Breakfast
Sprouted moong parantha/paratha,Veg,228.59,4.29,12.43,24.31,Breakfast,Breakfast
Pea parantha/paratha (Matar ka parantha/paratha),Veg,190.73,5.59,8.8,21.51,Breakfast,Breakfast
Keema parantha/paratha,Non-Veg,238.09,9.41,13.91,18.36,Breakfast,Breakfast
Paneer parantha/paratha,Veg,262.97,7.98,14.62,24.33,Breakfast,Breakfast
Besan and spinach parantha/paratha (Besan aur palak ka parantha/paratha),Veg,216.49,5.54,12.09,21.39,Breakfast,Breakfast
Poori,Veg,737.63,1.35,77.61,8.22,Breakfast,Breakfast
Spinach poori (Palak poori),Veg,684.25,1.42,71.86,7.76,Breakfast,Breakfast
Methi poori,Veg,710.02,1.45,74.6,7.98,Breakfast,Breakfast
Dal stuffed poori,Veg,785.16,2.08,81.69,10.14,Breakfast,Breakfast
Potato stuffed poori (Aloo ki poori),Veg,776.74,1.52,81.35,9.4,Breakfast,Breakfast
Tandoori parantha/paratha,Veg,295.37,5.08,16.51,30.74,Breakfast,Breakfast
Plain pulao,Veg,140.21,2.34,4.62,21.82,Lunch,RiceSide
Plain pulao,Veg,140.21,2.34,4.62,21.82,Dinner,RiceSide
Mixed vegetable pulao,Veg,113.05,2.72,3.33,17.49,Lunch,RiceSide
Mixed vegetable pulao,Veg,113.05,2.72,3.33,17.49,Dinner,RiceSide
Mushroom pulao,Veg,124.29,2.52,4.03,19.02,Lunch,RiceSide
Mushroom pulao,Veg,124.29,2.52,4.03,19.02,Dinner,RiceSide
Sprouted moong pulao,Veg,112.97,2.19,3.61,17.49,Lunch,RiceSide
Sprouted moong pulao,Veg,112.97,2.19,3.61,17.49,Dinner,RiceSide
Paneer pulao,Veg,581.91,1.98,59.81,8.76,Lunch,RiceSide
Paneer pulao,Veg,581.91,1.98,59.81,8.76,Dinner,RiceSide
Peanut pulao ,Veg,193.28,5.32,9.51,21.18,Lunch,RiceSide
Peanut pulao ,Veg,193.28,5.32,9.51,21.18,Dinner,RiceSide
Navratan pulao,Veg,261.71,6.2,9.45,36.98,Lunch,RiceSide
Navratan pulao,Veg,261.71,6.2,9.45,36.98,Dinner,RiceSide
Green chickpeas pulao (Choliya pulao/Hare chane ka pulao),Veg,173.43,4.88,4.82,27.57,Lunch,RiceSide
Green chickpeas pulao (Choliya pulao/Hare chane ka pulao),Veg,173.43,4.88,4.82,27.57,Dinner,RiceSide
Mutton biryani/biriyani,Non-Veg,190.76,7.38,7.72,22.5,Lunch,Complete
Mutton biryani/biriyani,Non-Veg,190.76,7.38,7.72,22.5,Dinner,Complete
Vegetable biryani/biriyani,Veg,174.61,3.16,9.51,18.56,Lunch,Complete
Vegetable biryani/biriyani,Veg,174.61,3.16,9.51,18.56,Dinner,Complete
